id;name;description;alarm_type;conf;notify_type;notify_role;notify_member;create_time;created_by;modified_time;modified_by;status;category;category_id;event_rule_name;event_rule_id;alert_template;solve_solution
1;Managed;models cross-platform Credit Card Account;SPIKE_AGGREGATION;Awesome Cotton Cheese paradigms Towels;NULL;open-source Chicken Port;Sharable Accounts Programmable;2021-01-07T11:14:32;Shoes;2021-01-07T22:33:25;COM out-of-the-box SQL;schemas red;Mississippi;9056;driver Shoal;91969;Tactics;synthesizing
2;Usability synthesizing infrastructures;calculate Automotive;SPIKE;Buckinghamshire;NULL;tan Digitized bypassing;auxiliary Investor impactful;2021-01-07T16:04:41;radical;2021-01-07T11:32:36;innovative;Investor;Japan Legacy Investment Account;53793;aggregate Plastic;62087;Up-sized metrics maroon;Personal Loan Account
3;bus program;Orchestrator Cook Islands Burg;FIELD;Tokelau primary tan;WECHAT;Turkish Lira TCP Shoes;alarm Wooden Bedfordshire;2021-01-07T20:05:56;Pennsylvania;2021-01-08T08:12:25;Handcrafted auxiliary Garden;digital;Sleek Montenegro;12786;dynamic index;58857;Shoes Texas Switchable;neural
4;customized generating client-server;Palau;METRICAGGREGATION;transmit;RSYSLOG;bus Granite solid state;Iran;2021-01-08T08:41:20;Shirt programming Colombian Peso Unidad de Valor Real;2021-01-07T16:35:45;Light 4th generation expedite;Mountains THX ADP;Down-sized Avon;99721;Rustic Cotton Tuna Handcrafted Malta;2093;back-end program Total;wireless
5;metrics Fresh;Guarani;NEW_TERM;Arkansas Soft;RSYSLOG;De-engineered Oregon;Books Shoes Courts;2021-01-08T06:04:35;Personal Loan Account;2021-01-08T01:25:54;enterprise Multi-tiered pixel;Belize Dollar Bermudian Dollar (customarily known as Bermuda Dollar) Customer;cross-platform;69828;synthesize Configurable Awesome;81482;directional Persevering Incredible;leading-edge Usability
6;compressing Gold Home;generate Small e-tailers;BLACKLIST;Shoal Borders compelling;EMAIL;Buckinghamshire;holistic protocol Refined Fresh Salad;2021-01-07T14:00:44;Configurable Malaysian Ringgit;2021-01-08T00:28:52;GB indexing;channels Distributed;Future purple Alaska;40731;Principal;87429;Singapore Dollar Triple-buffered;killer Savings Account Georgia
7;parse CSS;unleash red back up;KEYWORDS;brand;POST;matrix capacitor;card;2021-01-07T10:31:46;Vietnam deploy real-time;2021-01-07T21:06:27;productize;AGP ivory end-to-end;Games;44284;Corner Uzbekistan Sum;87551;viral hard drive;empower dot-com Branding
8;primary Checking Account Rustic;deposit;SPIKE_AGGREGATION;Table Cotton;NULL;Computer Cheese;Paradigm Kansas Fresh;2021-01-07T20:38:32;front-end;2021-01-07T13:05:39;Realigned Chicken auxiliary;payment world-class lime;calculate instruction set;25001;Dominica end-to-end;35649;Bike parse;Delaware
9;Savings Account International FTP;invoice;FIELD;copy Credit Card Account compressing;EMAIL;Manors Steel;Ridges payment invoice;2021-01-08T04:37:17;Bike;2021-01-08T04:03:09;Health collaborative;Field Borders;THX Armenian Dram Legacy;86076;Licensed Cotton Table Cambridgeshire Awesome Frozen Gloves;750;CFA Franc BEAC;alarm
10;Small Buckinghamshire Granite;Virginia;SPIKE_AGGREGATION;Games;MESSAGE;secondary withdrawal;Metal;2021-01-07T13:30:56;indexing calculating;2021-01-07T19:21:45;Buckinghamshire Borders;Dynamic;online;9957;Tasty Frozen Keyboard transmit;70124;instruction set Strategist Tala;invoice demand-driven compressing
