id;name;color;description
1;Central Uruguay sticky;azure;Canadian Dollar
2;Response Cotton;sky blue;invoice teal Metrics
3;Alley Horizontal;grey;Proactive Botswana Money Market Account
4;Intelligent Fresh Chair Kentucky driver;blue;1080p Iraqi Dinar
5;holistic multi-byte back-end;magenta;uniform
6;reboot supply-chains morph;silver;withdrawal
7;best-of-breed RSS;turquoise;Inverse mesh cultivate
8;Dynamic;sky blue;streamline Auto Loan Account Integration
9;cross-platform Rubber bandwidth;white;markets channels New Jersey
10;Glen Bedfordshire port;purple;Chips
