id;title;jhi_desc;happen_time;close_time;event_status
1;Wooden;capacitor;International technologies;Generic;azure Applications synthesizing
2;program Dynamic back up;national Cotton Analyst;International Denar Mission;Steel Qatar Awesome;Tenge
3;Books Virgin Islands, U.S.;Infrastructure;wireless;dynamic e-business;Up-sized Table
4;Alabama De-engineered copying;withdrawal Accountability Buckinghamshire;Practical installation;digital cohesive Latvian Lats;Trinidad and Tobago Dollar vertical
5;relationships;Branding;Quality process improvement backing up;microchip Squares content;implementation Centralized
6;Legacy Berkshire;Practical Avon;Handcrafted Home Loan Account;indigo Industrial;system
7;methodical Concrete;system RAM Checking Account;Electronics Specialist Optimization;Strategist hard drive;Netherlands
8;Avon Prairie e-services;Digitized;Group revolutionary;Small Frozen Keyboard Fort Concrete;one-to-one
9;Global Ergonomic;Cambridgeshire;generating Pants;Concrete;Maine turquoise Industrial
10;systems Chicken;Officer protocol;Cambridgeshire invoice sexy;e-commerce Cambridgeshire;Licensed Metal Gloves Nebraska parsing
