id;name;info;checked;created_time;created_by;modified_time;modified_by
1;Sao Tome and Principe Berkshire;Generic Handcrafted;57041;2021-01-07T16:30:49;calculating;2021-01-07T14:40:31;synergies
2;secured line Awesome;Tactics Borders Buckinghamshire;20102;2021-01-07T20:28:59;Utah Bedfordshire;2021-01-07T18:32:48;Berkshire
3;Dynamic array index;Executive El Salvador Colon US Dollar Marketing;31321;2021-01-07T20:06:43;Sharable Checking Account Consultant;2021-01-07T13:54:14;neural
4;mint green;synergize navigating;676;2021-01-08T03:25:39;Refined Soft Tuna;2021-01-07T13:05:32;Paradigm Cook Islands
5;Crest Personal Loan Account;Plaza Fort;76318;2021-01-07T14:12:08;feed;2021-01-07T17:01:58;Berkshire Nebraska
6;deposit;Cotton;21291;2021-01-08T00:08:52;Saint Pierre and Miquelon Quality-focused Computers;2021-01-07T19:18:49;Sports Morocco
7;Assurance Bedfordshire cross-platform;harness holistic;35701;2021-01-07T20:25:30;Wooden AI;2021-01-08T04:58:07;Fiji Dollar
8;Planner array California;Facilitator magenta one-to-one;96678;2021-01-07T19:08:01;Ball;2021-01-08T02:05:14;mobile
9;Switchable programming indexing;interactive supply-chains invoice;49928;2021-01-07T15:45:36;Officer;2021-01-07T14:21:31;Gorgeous Granite Cheese
10;Handmade Rubber Keyboard Home Loan Account South Dakota;Regional;77799;2021-01-07T19:58:05;mobile Wooden Computers;2021-01-08T05:19:45;GB
